Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196111,40.50,-1.19
196112,31.08,-1.60
196201,26.96,-3.16
196202,34.92,1.10
196203,37.90,-3.60
196204,51.84,0.79
196205,62.24,2.04
196206,67.91,-0.58
196207,72.07,-1.54
196208,72.12,0.02
196209,64.18,-0.68
196210,56.12,2.01
196211,43.18,1.49
196212,33.40,0.72
196301,24.44,-5.68
196302,34.12,0.30
196303,43.72,2.22
196304,51.89,0.84
196305,61.02,0.82
196306,68.67,0.18
196307,73.60,-0.01
196308,71.98,-0.12
196309,66.34,1.48
196310,59.36,5.25
196311,44.04,2.35
196312,27.90,-4.78
196401,31.53,1.41
196402,31.77,-2.05
196403,38.82,-2.68
196404,51.30,0.25
196405,61.43,1.23
196406,68.00,-0.49
196407,74.66,1.05
196408,70.72,-1.38
196409,63.70,-1.16
196410,53.78,-0.33
196411,42.33,0.64
196412,32.04,-0.64
196501,31.80,1.68
196502,32.52,-1.30
196503,35.44,-6.06
196504,51.89,0.84
196505,60.80,0.60
196506,66.85,-1.64
196507,72.61,-1.00
196508,71.06,-1.04
196509,61.77,-3.09
196510,54.99,0.88
196511,44.65,2.96
196512,35.85,3.17
196601,26.38,-3.74
196602,31.24,-2.58
196603,43.00,1.50
196604,49.96,-1.09
196605,60.19,-0.01
196606,67.93,-0.56
196607,75.07,1.46
196608,70.86,-1.24
196609,64.54,-0.32
196610,52.83,-1.28
196611,43.21,1.52
196612,32.68,0.00
196701,33.10,2.98
196702,32.88,-0.94
196703,43.63,2.13
196704,51.01,-0.04
196705,57.63,-2.57
196706,67.55,-0.94
196707,72.52,-1.09
196708,71.22,-0.88
196709,64.06,-0.80
196710,53.92,-0.19
196711,41.54,-0.15
196712,32.07,-0.61
196801,28.94,-1.18
196802,32.92,-0.90
196803,43.56,2.06
196804,50.58,-0.47
196805,58.17,-2.03
196806,68.50,0.01
196807,72.86,-0.75
196808,70.59,-1.51
196809,63.90,-0.96
196810,54.64,0.53
196811,41.14,-0.55
196812,30.04,-2.64
196901,29.37,-0.75
196902,32.81,-1.01
196903,36.03,-5.47
196904,52.63,1.58
196905,61.41,1.21
196906,66.83,-1.66
196907,74.10,0.49
196908,73.22,1.12
196909,65.55,0.69
196910,51.03,-3.08
196911,41.59,-0.10
196912,33.46,0.78
197001,27.14,-2.98
197002,35.35,1.53
197003,38.50,-3.00
197004,49.44,-1.61
197005,61.07,0.87
197006,68.74,0.25
197007,73.96,0.35
197008,73.38,1.28
197009,64.58,-0.28
197010,52.27,-1.84
197011,41.31,-0.38
197012,33.58,0.90
197101,29.41,-0.71
197102,33.48,-0.34
197103,39.65,-1.85
197104,50.27,-0.78
197105,58.26,-1.94
197106,69.44,0.95
197107,72.36,-1.25
197108,72.01,-0.09
197109,64.33,-0.53
197110,55.08,0.97
197111,41.61,-0.08
197112,33.98,1.30
197201,29.93,-0.19
197202,33.55,-0.27
197203,44.04,2.54
197204,50.81,-0.24
197205,60.53,0.33
197206,68.22,-0.27
197207,72.18,-1.43
197208,71.67,-0.43
197209,64.44,-0.42
197210,52.29,-1.82
197211,38.93,-2.76
197212,29.86,-2.82
197301,29.59,-0.53
197302,33.58,-0.24
197303,44.29,2.79
197304,48.83,-2.22
197305,59.23,-0.97
197306,68.95,0.46
197307,73.26,-0.35
197308,72.61,0.51
197309,64.40,-0.46
197310,56.07,1.96
197311,42.93,1.24
197312,33.71,1.03
197401,31.01,0.89
197402,34.74,0.92
197403,44.38,2.88
197404,51.55,0.50
197405,60.37,0.17
197406,68.49,0.00
197407,74.08,0.47
197408,70.30,-1.80
197409,62.31,-2.55
197410,53.89,-0.22
197411,42.39,0.70
197412,33.66,0.98
197501,32.34,2.22
197502,32.76,-1.06
197503,38.70,-2.80
197504,46.85,-4.20
197505,60.35,0.15
197506,67.51,-0.98
197507,73.56,-0.05
197508,71.53,-0.57
197509,62.89,-1.97
197510,54.63,0.52
197511,42.60,0.91
197512,34.29,1.61
197601,29.93,-0.19
197602,39.56,5.74
197603,42.31,0.81
197604,51.85,0.80
197605,59.04,-1.16
197606,67.80,-0.69
197607,72.90,-0.71
197608,70.66,-1.44
197609,64.18,-0.68
197610,50.00,-4.11
197611,38.48,-3.21
197612,30.92,-1.76
197701,23.09,-7.03
197702,36.03,2.21
197703,43.18,1.68
197704,54.07,3.02
197705,61.66,1.46
197706,70.34,1.85
197707,74.43,0.82
197708,71.78,-0.32
197709,65.93,1.07
197710,53.98,-0.13
197711,42.87,1.18
197712,33.28,0.60
197801,25.86,-4.26
197802,27.99,-5.83
197803,41.31,-0.19
197804,51.58,0.53
197805,59.74,-0.46
197806,68.94,0.45
197807,73.80,0.19
197808,71.80,-0.30
197809,65.84,0.98
197810,54.41,0.30
197811,41.47,-0.22
197812,29.80,-2.88
197901,21.90,-8.22
197902,28.13,-5.69
197903,42.06,0.56
197904,50.14,-0.91
197905,59.13,-1.07
197906,67.82,-0.67
197907,73.13,-0.48
197908,70.97,-1.13
197909,66.09,1.23
197910,55.26,1.15
197911,39.94,-1.75
197912,36.03,3.35
198001,31.12,1.00
198002,32.85,-0.97
198003,39.36,-2.14
198004,51.44,0.39
198005,60.28,0.08
198006,68.74,0.25
198007,75.76,2.15
198008,72.79,0.69
198009,66.24,1.38
198010,52.59,-1.52
198011,42.31,0.62
198012,35.19,2.51
198101,32.41,2.29
198102,36.59,2.77
198103,42.85,1.35
198104,55.13,4.08
198105,58.96,-1.24
198106,69.82,1.33
198107,73.96,0.35
198108,72.10,0.00
